brand,country,channel,store_code,store_name,expense_category,account_name,account_name_en,account_name_clean,account_level,parent_account_name,account_group_name,year,amount,source_column,source_row
M,HK,오피스,M99,MLB 오피스,,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2022,0,22년 합계,2
M,HK,오피스,M99,MLB 오피스,,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2023,0,23년 합계,2
M,HK,오피스,M99,MLB 오피스,,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2024,0,24년 합계,2
M,HK,오피스,M99,MLB 오피스,,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2025,0,25년 합계,2
M,HK,오피스,M99,MLB 오피스,,Tag매출액,Tag Sales,Tag매출액,parent,,Tag매출액,2026,0,26년 합계,2
M,HK,오피스,M99,MLB 오피스,,실매출액,Net Sales,실매출액,parent,,실매출액,2022,0,22년 합계,3
M,HK,오피스,M99,MLB 오피스,,실매출액,Net Sales,실매출액,parent,,실매출액,2023,0,23년 합계,3
M,HK,오피스,M99,MLB 오피스,,실매출액,Net Sales,실매출액,parent,,실매출액,2024,0,24년 합계,3
M,HK,오피스,M99,MLB 오피스,,실매출액,Net Sales,실매출액,parent,,실매출액,2025,0,25년 합계,3
M,HK,오피스,M99,MLB 오피스,,실매출액,Net Sales,실매출액,parent,,실매출액,2026,0,26년 합계,3
M,HK,오피스,M99,MLB 오피스,,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2022,0,22년 합계,4
M,HK,오피스,M99,MLB 오피스,,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2023,0,23년 합계,4
M,HK,오피스,M99,MLB 오피스,,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2024,0,24년 합계,4
M,HK,오피스,M99,MLB 오피스,,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2025,0,25년 합계,4
M,HK,오피스,M99,MLB 오피스,,매출원가,Cost of Sales,매출원가,child,매출원가합계,매출원가합계,2026,0,26년 합계,4
M,HK,오피스,M99,MLB 오피스,,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2022,0,22년 합계,5
M,HK,오피스,M99,MLB 오피스,,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2023,0,23년 합계,5
M,HK,오피스,M99,MLB 오피스,,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2024,0,24년 합계,5
M,HK,오피스,M99,MLB 오피스,,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2025,0,25년 합계,5
M,HK,오피스,M99,MLB 오피스,,운반비,Freight Expense,운반비,child,매출원가합계,매출원가합계,2026,0,26년 합계,5
M,HK,오피스,M99,MLB 오피스,,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2022,0,22년 합계,6
M,HK,오피스,M99,MLB 오피스,,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2023,0,23년 합계,6
M,HK,오피스,M99,MLB 오피스,,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2024,0,24년 합계,6
M,HK,오피스,M99,MLB 오피스,,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2025,0,25년 합계,6
M,HK,오피스,M99,MLB 오피스,,매출원가합계,Total Cost of Sales,매출원가합계,parent,,매출원가합계,2026,0,26년 합계,6
M,HK,오피스,M99,MLB 오피스,,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2022,0,22년 합계,7
M,HK,오피스,M99,MLB 오피스,,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2023,0,23년 합계,7
M,HK,오피스,M99,MLB 오피스,,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2024,0,24년 합계,7
M,HK,오피스,M99,MLB 오피스,,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2025,0,25년 합계,7
M,HK,오피스,M99,MLB 오피스,,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2026,0,26년 합계,7
M,HK,오피스,M99,MLB 오피스,,판매관리비,SG&A,판매관리비,parent,,판매관리비,2022,13535.3976985,22년 합계,8
M,HK,오피스,M99,MLB 오피스,,판매관리비,SG&A,판매관리비,parent,,판매관리비,2023,15039.041309999999,23년 합계,8
M,HK,오피스,M99,MLB 오피스,,판매관리비,SG&A,판매관리비,parent,,판매관리비,2024,16482.498715,24년 합계,8
M,HK,오피스,M99,MLB 오피스,,판매관리비,SG&A,판매관리비,parent,,판매관리비,2025,17520.831327588614,25년 합계,8
M,HK,오피스,M99,MLB 오피스,,판매관리비,SG&A,판매관리비,parent,,판매관리비,2026,21768.828750000004,26년 합계,8
M,HK,오피스,M99,MLB 오피스,영업비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2022,4448.628430000001,22년 합계,9
M,HK,오피스,M99,MLB 오피스,영업비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2023,5675.5126199999995,23년 합계,9
M,HK,오피스,M99,MLB 오피스,영업비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2024,6092.663149999999,24년 합계,9
M,HK,오피스,M99,MLB 오피스,영업비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2025,6957.951469999999,25년 합계,9
M,HK,오피스,M99,MLB 오피스,영업비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2026,9837.81495,26년 합계,9
M,HK,오피스,M99,MLB 오피스,영업비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2022,3785.2667699999997,22년 합계,10
M,HK,오피스,M99,MLB 오피스,영업비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2023,4759.71302,23년 합계,10
M,HK,오피스,M99,MLB 오피스,영업비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2024,5278.59246,24년 합계,10
M,HK,오피스,M99,MLB 오피스,영업비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2025,6176.283879999999,25년 합계,10
