country,account_group_name,year,amount_sum
HK,1. 급 여,2022,29016.18
HK,1. 급 여,2023,47453.9
HK,1. 급 여,2024,54071.16
HK,1. 급 여,2025,57882.19
HK,1. 급 여,2026,71870.72
HK,10. 지급수수료,2022,5759.22
HK,10. 지급수수료,2023,3897.43
HK,10. 지급수수료,2024,3807.68
HK,10. 지급수수료,2025,4690.1
HK,10. 지급수수료,2026,4759.98
HK,11. 운반비,2022,7638.67
HK,11. 운반비,2023,12331.02
HK,11. 운반비,2024,14103.23
HK,11. 운반비,2025,12631.25
HK,11. 운반비,2026,11449.05
HK,12. 기타 수수료(매장관리비 외),2022,5774.03
HK,12. 기타 수수료(매장관리비 외),2023,10145.57
HK,12. 기타 수수료(매장관리비 외),2024,10821.27
HK,12. 기타 수수료(매장관리비 외),2025,11418.07
HK,12. 기타 수수료(매장관리비 외),2026,13164.89
HK,13. 보험료,2022,312.17
HK,13. 보험료,2023,418.57
HK,13. 보험료,2024,558.42
HK,13. 보험료,2025,586.65
HK,13. 보험료,2026,615.31
HK,14. 감가상각비,2022,5164.19
HK,14. 감가상각비,2023,8845.17
HK,14. 감가상각비,2024,9940.92
HK,14. 감가상각비,2025,7162.29
HK,14. 감가상각비,2026,7926.22
HK,15. 면세점 직접비,2022,0.0
HK,15. 면세점 직접비,2023,0.0
HK,15. 면세점 직접비,2024,0.0
HK,15. 면세점 직접비,2025,0.0
HK,15. 면세점 직접비,2026,0.0
HK,2. TRAVEL & MEAL,2022,448.04
HK,2. TRAVEL & MEAL,2023,749.69
HK,2. TRAVEL & MEAL,2024,221.22
HK,2. TRAVEL & MEAL,2025,396.7
HK,2. TRAVEL & MEAL,2026,302.16
HK,3. 피복비(유니폼),2022,78.03
HK,3. 피복비(유니폼),2023,136.47
HK,3. 피복비(유니폼),2024,202.2
HK,3. 피복비(유니폼),2025,172.19
HK,3. 피복비(유니폼),2026,114.63
HK,4. 임차료,2022,67868.14
HK,4. 임차료,2023,102061.12
HK,4. 임차료,2024,116980.95
HK,4. 임차료,2025,110733.62
HK,4. 임차료,2026,112213.23
HK,5. 유지보수비,2022,254.96
HK,5. 유지보수비,2023,397.17
HK,5. 유지보수비,2024,596.56
HK,5. 유지보수비,2025,280.81
HK,5. 유지보수비,2026,267.21
HK,6. 수도광열비,2022,591.63
HK,6. 수도광열비,2023,922.41
HK,6. 수도광열비,2024,962.46
HK,6. 수도광열비,2025,963.91
HK,6. 수도광열비,2026,1013.06
HK,7. 소모품비,2022,1048.64
HK,7. 소모품비,2023,1370.57
HK,7. 소모품비,2024,738.07
HK,7. 소모품비,2025,926.4
HK,7. 소모품비,2026,1396.29
HK,8. 통신비,2022,178.28
HK,8. 통신비,2023,201.01
HK,8. 통신비,2024,183.74
HK,8. 통신비,2025,189.75
HK,8. 통신비,2026,198.06
HK,9. 광고선전비,2022,18393.45
HK,9. 광고선전비,2023,12019.18
