country,store_code,store_name,account_group_name,year,amount_sum
HK,HE1,Zarola,1. 급 여,2022,0.0
HK,HE1,Zarola,1. 급 여,2023,0.0
HK,HE1,Zarola,1. 급 여,2024,0.0
HK,HE1,Zarola,1. 급 여,2025,0.0
HK,HE1,Zarola,1. 급 여,2026,0.0
HK,HE1,Zarola,10. 지급수수료,2022,279.61
HK,HE1,Zarola,10. 지급수수료,2023,394.76
HK,HE1,Zarola,10. 지급수수료,2024,527.1
HK,HE1,Zarola,10. 지급수수료,2025,451.26
HK,HE1,Zarola,10. 지급수수료,2026,494.71
HK,HE1,Zarola,11. 운반비,2022,108.21
HK,HE1,Zarola,11. 운반비,2023,62.48
HK,HE1,Zarola,11. 운반비,2024,88.54
HK,HE1,Zarola,11. 운반비,2025,107.7
HK,HE1,Zarola,11. 운반비,2026,85.52
HK,HE1,Zarola,12. 기타 수수료(매장관리비 외),2022,2.81
HK,HE1,Zarola,12. 기타 수수료(매장관리비 외),2023,0.0
HK,HE1,Zarola,12. 기타 수수료(매장관리비 외),2024,0.0
HK,HE1,Zarola,12. 기타 수수료(매장관리비 외),2025,25.79
HK,HE1,Zarola,12. 기타 수수료(매장관리비 외),2026,4.06
HK,HE1,Zarola,13. 보험료,2022,0.0
HK,HE1,Zarola,13. 보험료,2023,0.0
HK,HE1,Zarola,13. 보험료,2024,0.0
HK,HE1,Zarola,13. 보험료,2025,0.0
HK,HE1,Zarola,13. 보험료,2026,0.0
HK,HE1,Zarola,14. 감가상각비,2022,0.0
HK,HE1,Zarola,14. 감가상각비,2023,0.0
HK,HE1,Zarola,14. 감가상각비,2024,0.0
HK,HE1,Zarola,14. 감가상각비,2025,0.0
HK,HE1,Zarola,14. 감가상각비,2026,0.0
HK,HE1,Zarola,15. 면세점 직접비,2022,0.0
HK,HE1,Zarola,15. 면세점 직접비,2023,0.0
HK,HE1,Zarola,15. 면세점 직접비,2024,0.0
HK,HE1,Zarola,15. 면세점 직접비,2025,0.0
HK,HE1,Zarola,15. 면세점 직접비,2026,0.0
HK,HE1,Zarola,2. TRAVEL & MEAL,2022,0.0
HK,HE1,Zarola,2. TRAVEL & MEAL,2023,0.0
HK,HE1,Zarola,2. TRAVEL & MEAL,2024,0.0
HK,HE1,Zarola,2. TRAVEL & MEAL,2025,0.0
HK,HE1,Zarola,2. TRAVEL & MEAL,2026,0.0
HK,HE1,Zarola,3. 피복비(유니폼),2022,0.0
HK,HE1,Zarola,3. 피복비(유니폼),2023,0.0
HK,HE1,Zarola,3. 피복비(유니폼),2024,0.0
HK,HE1,Zarola,3. 피복비(유니폼),2025,0.0
HK,HE1,Zarola,3. 피복비(유니폼),2026,0.0
HK,HE1,Zarola,4. 임차료,2022,0.0
HK,HE1,Zarola,4. 임차료,2023,0.0
HK,HE1,Zarola,4. 임차료,2024,0.0
HK,HE1,Zarola,4. 임차료,2025,0.0
HK,HE1,Zarola,4. 임차료,2026,0.0
HK,HE1,Zarola,5. 유지보수비,2022,0.0
HK,HE1,Zarola,5. 유지보수비,2023,0.0
HK,HE1,Zarola,5. 유지보수비,2024,0.0
HK,HE1,Zarola,5. 유지보수비,2025,0.0
HK,HE1,Zarola,5. 유지보수비,2026,0.0
HK,HE1,Zarola,6. 수도광열비,2022,0.0
HK,HE1,Zarola,6. 수도광열비,2023,0.0
HK,HE1,Zarola,6. 수도광열비,2024,0.0
HK,HE1,Zarola,6. 수도광열비,2025,0.0
HK,HE1,Zarola,6. 수도광열비,2026,0.0
HK,HE1,Zarola,7. 소모품비,2022,23.43
HK,HE1,Zarola,7. 소모품비,2023,14.84
HK,HE1,Zarola,7. 소모품비,2024,2.55
HK,HE1,Zarola,7. 소모품비,2025,8.68
HK,HE1,Zarola,7. 소모품비,2026,10.89
HK,HE1,Zarola,8. 통신비,2022,0.0
HK,HE1,Zarola,8. 통신비,2023,0.0
HK,HE1,Zarola,8. 통신비,2024,0.0
HK,HE1,Zarola,8. 통신비,2025,0.0
HK,HE1,Zarola,8. 통신비,2026,0.0
